year,age,sex,people
10/21/2018,18-24,female,1621.019639
10/21/2018,18-24,male,127.317581
10/21/2018,25-34,female,6022.759939
10/21/2018,25-34,male,610.283309
10/21/2018,35-44,female,24975.25974
10/21/2018,35-44,male,6345.815897
10/21/2018,45-54,female,54297.71481
10/21/2018,45-54,male,9374.983496
10/21/2018,55-64,female,64711.30292
10/21/2018,55-64,male,7007.381872
10/21/2018,65+,female,34932.57502
10/21/2018,65+,male,5136.813713
10/22/2018,18-24,female,756.831847
10/22/2018,18-24,male,277.646704
10/22/2018,25-34,female,2136.456517
10/22/2018,25-34,male,455.496126
10/22/2018,35-44,female,12959.80189
10/22/2018,35-44,male,1613.029359
10/22/2018,45-54,female,27902.19525
10/22/2018,45-54,male,3064.550225
10/22/2018,55-64,female,35270.48069
10/22/2018,55-64,male,3607.414227
10/22/2018,65+,female,18933.22303
10/22/2018,65+,male,2365.684368
10/23/2018,18-24,female,393.182851
10/23/2018,18-24,male,104.162194
10/23/2018,25-34,female,1674.64168
10/23/2018,25-34,male,432.975948
10/23/2018,35-44,female,10684.6009
10/23/2018,35-44,male,1205.029156
10/23/2018,45-54,female,23186.41256
10/23/2018,45-54,male,2259.68791
10/23/2018,55-64,female,30086.18496
10/23/2018,55-64,male,2837.816033
10/23/2018,65+,female,19455.47392
10/23/2018,65+,male,2590.296735
10/24/2018,18-24,female,359.389061
10/24/2018,18-24,male,104.997412
10/24/2018,25-34,female,1697.856434
10/24/2018,25-34,male,380.65293
10/24/2018,35-44,female,12316.39052
10/24/2018,35-44,male,1144.338174
10/24/2018,45-54,female,26762.12047
10/24/2018,45-54,male,2290.926731
10/24/2018,55-64,female,35550.04312
10/24/2018,55-64,male,2956.985569
10/24/2018,65+,female,20626.87425
10/24/2018,65+,male,2263.002503
10/25/2018,18-24,female,366.137617
10/25/2018,18-24,male,73.264633
10/25/2018,25-34,female,1960.706244
10/25/2018,25-34,male,249.3211
10/25/2018,35-44,female,12117.57615
10/25/2018,35-44,male,1065.97213
10/25/2018,45-54,female,25589.88804
10/25/2018,45-54,male,2099.894387
10/25/2018,55-64,female,34837.88386
10/25/2018,55-64,male,2974.082531
10/25/2018,65+,female,20532.07693
10/25/2018,65+,male,2157.436833
10/26/2018,18-24,female,422.555985
10/26/2018,18-24,male,96.844589
10/26/2018,25-34,female,2053.639375
10/26/2018,25-34,male,370.486305
10/26/2018,35-44,female,13213.21933
10/26/2018,35-44,male,1380.111254
10/26/2018,45-54,female,26786.61252
10/26/2018,45-54,male,2528.065185
10/26/2018,55-64,female,35239.775
10/26/2018,55-64,male,3258.025622
